iter	RMSE
491	0.2807868799
492	0.2807485405
493	0.2806853452
494	0.2805513225
495	0.2804113563
496	0.280321133
497	0.2802330006
498	0.2801486888
499	0.280103452
500	0.2800771844
501	0.2799997513
502	0.2799296288
503	0.279882396
504	0.2797594029
505	0.2796996433
506	0.2796447783
507	0.2796263265
508	0.2795836039
509	0.2795400215
510	0.2794219358
511	0.2793768114
512	0.2792994035
513	0.2792787341
514	0.2792331947
515	0.2791917807
516	0.2791685599
517	0.2791336516
518	0.2790850545
519	0.2790604907
520	0.2789593801
521	0.2789160753
522	0.2788943977
523	0.2787933486
524	0.2787638684
525	0.278667622
526	0.2786108595
527	0.2785462943
528	0.2785159318
529	0.2784705149
530	0.2784546596
531	0.2783920351
532	0.278355907
533	0.2782818284
534	0.2782370788
535	0.2781947866
536	0.2781077547
537	0.2780389259
538	0.2779456113
539	0.2779185183
540	0.2778925127
541	0.2778709097
542	0.2777746896
543	0.2777110982
544	0.2776158928
545	0.2775324527
546	0.2774876897
547	0.2774646761
548	0.2774429726
549	0.2774287173
550	0.277377304
551	0.277302734
552	0.277201103
553	0.277185366
554	0.2771507869
555	0.277076017
556	0.2768796035
557	0.2768172725
558	0.2767081935
559	0.2766046295
560	0.2765276372
561	0.2764978581
562	0.2764367366
563	0.2763028855
564	0.276243107
565	0.2762201076
566	0.2761559498
567	0.2760912153
568	0.2759775335
569	0.2759501538
570	0.2758951215
571	0.2758372084
572	0.2757539032
573	0.2756658479
574	0.2756500604
575	0.2756395219
576	0.2755326254
577	0.2754970239
578	0.2754446265
579	0.2753203297
580	0.2751797169
581	0.2751474693
582	0.2751297238
583	0.2750018584
584	0.2749136681
585	0.2747828079
586	0.274774707
587	0.2747523434
588	0.2747406036
589	0.2747154765
590	0.2746988996
591	0.2746535783
592	0.2745757751
593	0.2745490126
594	0.2745303148
595	0.2744845145
596	0.2744260567
597	0.2743882147
598	0.274360347
599	0.2743303163
600	0.2742191016
601	0.2740916633
602	0.2740550278
603	0.2740025842
604	0.2739824438
605	0.2738827442
606	0.273843155
607	0.2738032385
608	0.273784399
609	0.2737645812
610	0.2737279842
611	0.2737068001
612	0.2736046878
613	0.2735759977
614	0.2735493133
615	0.2735230773
616	0.2735060227
617	0.2734104538
618	0.2734035172
619	0.2733630131
620	0.2732845835
621	0.273178391
622	0.2731384519
623	0.2731052081
624	0.2730336035
